,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1971.0,26.0,29.0,0.0,76.0
1,1956.0,15.0,44.0,1.0,91.0
2,1948.0,8.0,52.0,2.0,99.0
3,1946.0,4.0,54.0,3.0,103.0
4,1943.0,3.0,57.0,4.0,106.0
5,1941.0,1.0,59.0,5.0,107.0
6,1940.0,0.0,60.0,6.0,107.0
7,1940.0,0.0,60.0,7.0,107.0
8,1940.0,0.0,60.0,8.0,107.0
9,1940.0,0.0,60.0,9.0,107.0
10,1940.0,0.0,60.0,10.0,107.0
11,1940.0,0.0,60.0,11.0,107.0
12,1940.0,0.0,60.0,12.0,107.0
13,1940.0,0.0,60.0,13.0,107.0
14,1940.0,0.0,60.0,14.0,107.0
15,1940.0,0.0,60.0,15.0,107.0
16,1940.0,0.0,60.0,16.0,107.0
17,1940.0,0.0,60.0,17.0,107.0
18,1940.0,0.0,60.0,18.0,107.0
19,1940.0,0.0,60.0,19.0,107.0
20,1940.0,0.0,60.0,20.0,107.0
